family_group,family,task_id,m,n,config_id,block_size,num_warps,num_stages,shape_json,config_json,median_ms,effective_gbps,score,validation_error
A,softmax,softmax_m4096_n256,4096,256,79,4096,8,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 4096, ""num_stages"": 4, ""num_warps"": 8}",0.014368000440299511,291.91981288055746,4.24275173677784,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,80,8192,1,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 1, ""num_warps"": 1}",0.040192000567913055,104.35668642352894,3.214087294006401,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,81,8192,1,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 2, ""num_warps"": 1}",0.04012800008058548,104.52312578690575,3.2156809319634707,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,82,8192,1,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 3, ""num_warps"": 1}",0.04012800008058548,104.52312578690575,3.2156809319634707,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,83,8192,1,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 4, ""num_warps"": 1}",0.04012800008058548,104.52312578690575,3.2156809319634707,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,84,8192,2,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 1, ""num_warps"": 2}",0.03129599988460541,134.02045039191063,3.4642649888169297,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,85,8192,2,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 2, ""num_warps"": 2}",0.03129599988460541,134.02045039191063,3.4642649888169297,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,86,8192,2,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 3, ""num_warps"": 2}",0.03129599988460541,134.02045039191063,3.4642649888169297,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,87,8192,2,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 4, ""num_warps"": 2}",0.03129599988460541,134.02045039191063,3.4642649888169297,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,88,8192,4,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 8192, ""num_stages"": 1, ""num_warps"": 4}",0.02518399991095066,166.54637924201256,3.6815464102830933,3.0517578125e-05
